complejo_slug,cinema_vista_id,session_id,datetime,numero_sala,formato,idioma,experiencia,movie_id
cinepolis-la-florida-acayucan,611,50008,2026-08-04T16:45:00,5,3D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50004,2026-08-04T17:35:00,4,2D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50000,2026-08-04T18:25:00,1,2D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50009,2026-08-04T19:50:00,5,3D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50005,2026-08-04T20:45:00,4,2D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50001,2026-08-04T21:45:00,1,2D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50018,2026-08-05T10:35:00,5,3D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50014,2026-08-05T11:20:00,4,2D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50010,2026-08-05T12:05:00,1,2D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50019,2026-08-05T13:40:00,5,3D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50015,2026-08-05T14:25:00,4,2D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50011,2026-08-05T15:10:00,1,2D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50020,2026-08-05T16:45:00,5,3D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50016,2026-08-05T17:35:00,4,2D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50012,2026-08-05T18:25:00,1,2D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50021,2026-08-05T19:50:00,5,3D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50017,2026-08-05T20:45:00,4,2D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50013,2026-08-05T21:45:00,1,2D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,51423,2026-07-27T12:45:00,3,2D,ESPAÑOL,Tradicional,toy-story-5
cinepolis-la-florida-acayucan,611,51424,2026-07-27T15:40:00,3,2D,ESPAÑOL,Tradicional,toy-story-5
cinepolis-la-florida-acayucan,611,51425,2026-07-27T18:00:00,3,2D,ESPAÑOL,Tradicional,toy-story-5
cinepolis-la-florida-acayucan,611,51426,2026-07-27T20:15:00,3,2D,ESPAÑOL,Tradicional,toy-story-5
cinepolis-la-florida-acayucan,611,51443,2026-07-28T12:45:00,3,2D,ESPAÑOL,Tradicional,toy-story-5
cinepolis-la-florida-acayucan,611,51444,2026-07-28T15:40:00,3,2D,ESPAÑOL,Tradicional,toy-story-5
cinepolis-la-florida-acayucan,611,51445,2026-07-28T18:00:00,3,2D,ESPAÑOL,Tradicional,toy-story-5
cinepolis-la-florida-acayucan,611,51446,2026-07-28T20:15:00,3,2D,ESPAÑOL,Tradicional,toy-story-5
